step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
220;2,2;-107,524873482887;7800,66550859056;7693,14063510767;312,734803872917
221;2,21;-104,881324428402;7802,61098279121;7697,72965836281;312,812799460846
222;2,22;-102,963243851772;7802,6628256504;7699,69958179863;312,814877881768
223;2,23;-101,856042318036;7772,04629616234;7670,1902538443;311,58743718018
224;2,24;-101,101609452854;7765,93368949131;7664,83208003845;311,342377980255
225;2,25;-100,398588614821;7752,82213165781;7652,42354304298;310,816725333951
226;2,26;-99,6597878732971;7736,09351857509;7636,4337307018;310,146062103265
227;2,27;-99,0701823613051;7730,15662301652;7631,08644065521;309,908047299774
228;2,28;-99,3404478278038;7721,05519937413;7621,71475154633;309,543164081204
229;2,29;-101,210635006396;7744,07803602383;7642,86740101744;310,466167675745
230;2,3;-104,648889000006;7772,70418400259;7668,05529500258;311,613812420147
231;2,31;-107,913934041212;7772,55951288041;7664,6455788392;311,60801244129
232;2,32;-110,011876087073;7769,9143241522;7659,90244806513;311,501964748666
233;2,33;-111,027565611263;7745,47596297232;7634,44839736105;310,522211664502
234;2,34;-111,505421891811;7779,65201794278;7668,14659605097;311,892356536958
235;2,35;-112,295175821358;7721,90202755213;7609,60685173077;309,577114087632
236;2,36;-113,628362414612;7731,01573972317;7617,38737730856;309,942489962963
237;2,37;-115,112240082428;7745,02929015791;7629,91705007548;310,504304200728
238;2,38;-116,255279184677;7780,31803245643;7664,06275327175;311,919057581641
239;2,39;-116,593986998723;7777,14364912948;7660,54966213076;311,791794062128
240;2,4;-116,105961611;7773,69121404487;7657,58525243387;311,653383229375
241;2,41;-115,098680960343;7740,97240071513;7625,87371975478;310,341660318251
242;2,42;-114,026373464214;7766,47719448135;7652,45082101713;311,364167521965
243;2,43;-113,148138313115;7742,05276374056;7628,90462542744;310,384972920041
244;2,44;-112,595092607151;7728,25496775259;7615,65987514544;309,831808447417
245;2,45;-112,147191275271;7707,04627788418;7594,89908660891;308,981535421469
246;2,46;-111,650169825966;7695,8219595731;7584,17178974714;308,531543689128
247;2,47;-111,170156245205;7674,22548574114;7563,05532949593;307,665724099665
248;2,48;-110,819363843547;7695,1952155955;7584,37585175195;308,506417031063
249;2,49;-110,626770950815;7736,20410770294;7625,57733675213;310,150495708215
250;2,5;-110,869223747906;7785,57258061053;7674,70335686262;312,129716542034
251;2,51;-111,414933847821;7747,41448825768;7635,99955440986;310,599928664963
252;2,52;-112,174891419505;7737,42082475483;7625,24593333533;310,199274849965
253;2,53;-113,385481135965;7706,25097075106;7592,8654896151;308,949650934175
254;2,54;-115,045318945138;7714,41946038045;7599,37414143531;309,277132095798
255;2,55;-117,150382736894;7753,73604298281;7636,58566024591;310,853364756403
256;2,56;-119,531110476163;7710,89664295274;7591,36553247658;309,135899579659
257;2,57;-122,062418853907;7714,851864375;7592,78944552109;309,294467511382
258;2,58;-124,529877516435;7718,4207269905;7593,89084947406;309,437546015246
259;2,59;-126,528900342902;7759,47016600372;7632,94126566082;311,08325024968
260;2,6;-128,06570770882;7758,34731574001;7630,28160803119;311,038234301154
261;2,61;-128,967503096443;7756,80697786401;7627,83947476757;310,976480946518
262;2,62;-129,1529303133;7769,90277623408;7640,74984592078;311,501501783563
263;2,63;-128,699406390168;7798,13739454985;7669,43798815968;312,633449796419
264;2,64;-127,90816423398;7800,06769925405;7672,15953502007;312,710837227327
265;2,65;-126,706934332665;7787,10181561294;7660,39488128027;312,191024773752
266;2,66;-124,979751555546;7774,63168092901;7649,65192937347;311,69108728504
267;2,67;-122,672961054385;7758,53001081675;7635,85704976236;311,045558690199
268;2,68;-119,766036358435;7761,97348067863;7642,20744432019;311,183610100135
269;2,69;-116,457536449216;7785,02439518753;7668,56685873831;312,107739358093
270;2,7;-112,853553116198;7803,05513073584;7690,20157761964;312,830605700609
271;2,71;-108,873027228097;7779,83177383935;7670,95874661126;311,899563091963
272;2,72;-104,771104085635;7770,29184152831;7665,52073744267;311,51709971663
273;2,73;-100,896791020751;7758,0563149508;7657,15952393004;311,026567851075
274;2,74;-97,2599067370327;7719,91540212795;7622,65549539092;309,497468714848
275;2,75;-94,8727650776429;7653,03481841366;7558,16205333602;306,816173611531
276;2,76;-94,7430399196549;7649,90482157458;7555,16178165492;306,69068958116
277;2,77;-96,7638209224933;7662,78087793587;7566,01705701338;307,206900788572
278;2,78;-100,170019340666;7630,71317467458;7530,54315533391;305,921281391223
279;2,79;-103,949525460752;7625,11767903871;7521,16815357796;305,696953578637
280;2,8;-107,245898105619;7632,84905257849;7525,60315447287;306,006910413085
281;2,81;-109,536892065253;7649,21343783762;7539,67654577237;306,662971464399
282;2,82;-110,876465848683;7653,95442971625;7543,07796386757;306,85304155056
283;2,83;-111,422558539339;7640,55300830043;7529,13044976109;306,315768045693
284;2,84;-111,118267552885;7688,44290018017;7577,32463262729;308,235711405399
285;2,85;-110,04593631901;7671,06952496951;7561,0235886505;307,539199154856
286;2,86;-108,698752763023;7657,67019412654;7548,97144136352;307,002009462696
287;2,87;-107,8680105996;7675,59416233884;7567,72615173924;307,720595418898
288;2,88;-107,591810480385;7636,12520577752;7528,53339529714;306,138253966661
289;2,89;-107,73352041113;7645,16459222019;7537,43107180906;306,500650065195
290;2,9;-108,473972853724;7616,10658319088;7507,63261033715;305,335691672259
291;2,91;-109,603787197365;7601,82740697189;7492,22361977453;304,763228288283
292;2,92;-111,014037347189;7600,69089285696;7489,67685550977;304,717664545236
293;2,93;-112,697750616373;7609,61435829188;7496,9166076755;305,075413279569
294;2,94;-114,367507445523;7630,49350838206;7516,12600093653;305,912474797114
295;2,95;-115,873148909365;7656,46553078962;7540,59238188025;306,953713563841
296;2,96;-117,324217605038;7637,19306385332;7519,86884624828;306,181065235204
