step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
212;2,12;12,1552463018727;274289,426557633;274301,581803935;10996,4784318018
213;2,13;10,305532572717;268904,251736494;268914,557269067;10780,5825457834
214;2,14;7,95252084058743;263784,022410395;263791,974931236;10575,3085326472
215;2,15;5,42465092842037;258874,982719644;258880,407370572;10378,5012777789
216;2,16;3,18357030135878;253963,537166757;253966,720737059;10181,5975700089
217;2,17;1,51594700843617;249132,709419308;249134,225366317;9987,92589334512
218;2,18;1,06768475087774;244342,13407331;244343,201758061;9795,86796705416
219;2,19;0,800681039050202;239478,597204867;239479,397885906;9600,88495605257
220;2,2;0,793999929499183;235172,29077218;235173,084772109;9428,24175065427
221;2,21;1,00645892936763;230742,575399106;230743,581858035;9250,65098395807
222;2,22;1,57269322762573;226316,157845524;226317,730538751;9073,19242943416
223;2,23;2,02363619783795;221776,474998131;221778,498634329;8891,19298036649
224;2,24;2,3749334766993;217514,793302187;217517,168235664;8720,33881569526
225;2,25;2,55993772766206;213288,145624457;213290,705562185;8550,88919231646
226;2,26;2,55711457796578;209249,09276043;209251,649875008;8388,96039228359
227;2,27;2,50875986213532;205067,257233149;205069,765993011;8221,30732319443
228;2,28;2,37735670865135;201448,391374207;201450,768730916;8076,22415004822
229;2,29;2,02795143230088;197745,466985896;197747,494937328;7927,77100447245
230;2,3;1,61058475104076;193989,738229804;193991,348814555;7777,20089034015
231;2,31;1,13580222461419;190701,795260994;190702,931063219;7645,38467563851
232;2,32;0,774484995881028;187042,825981181;187043,600466177;7498,69372486783
233;2,33;0,458905825894158;183573,042225723;183573,501131549;7359,58737028184
234;2,34;0,130974873885653;180173,21813859;180173,349113464;7223,28575371834
235;2,35;0;176872,167519353;176872,167519353;7090,94404302138
236;2,36;0;173456,61040571;173456,61040571;6954,01167707447
237;2,37;0;170427,778348575;170427,778348575;6832,58342222761
