step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
168;1,68;-96,4944083001977;7582,48959405569;7485,99518575549;303,987960188014
169;1,69;-98,3479681582526;7586,92008478106;7488,5721166228;304,165582039192
170;1,7;-100,420812144357;7589,29161804383;7488,87080589947;304,260658669384
171;1,71;-102,67882511992;7623,76413852994;7521,08531341002;305,642689077092
172;1,72;-104,569152790145;7626,66158463151;7522,09243184136;305,75884996584
173;1,73;-106,324349112791;7626,17901310604;7519,85466399325;305,739503294558
174;1,74;-107,693274098488;7612,62474700029;7504,9314729018;305,196102126087
175;1,75;-109,532518571862;7586,74671426616;7477,2141956943;304,158631479152
176;1,76;-110,420848533189;7551,07659236823;7440,65574383504;302,72858829071
177;1,77;-110,882186651328;7529,85657358502;7418,97438693369;301,877861079674
178;1,78;-110,960812788205;7479,61268031315;7368,65186752494;299,863543956233
179;1,79;-110,731479972058;7505,85733812106;7395,12585814901;300,915712890182
180;1,8;-110,156825614154;7492,20595199189;7382,04912637774;300,368418103732
181;1,81;-109,368592883975;7494,31587397385;7384,94728108987;300,453006532307
182;1,82;-108,468730956592;7477,72380979081;7369,25507883422;299,787817654202
183;1,83;-107,803141601054;7476,65999921672;7368,85685761567;299,74516865318
184;1,84;-106,981001664126;7495,16195894082;7388,1809572767;300,486926742822
185;1,85;-106,030895643255;7487,27849315707;7381,24759751381;300,170872410918
186;1,86;-104,511305089087;7529,63489141374;7425,12358632465;301,868973667404
187;1,87;-102,376117137436;7471,14762714952;7368,77151001209;299,524173329716
188;1,88;-100,042991427266;7463,36067055457;7363,31767912731;299,211988126953
189;1,89;-97,7534604584135;7441,16677200949;7343,41331155108;298,322217311754
190;1,9;-96,21879432612;7439,09305235535;7342,87425802923;298,23908026292
191;1,91;-95,5332482451994;7443,8385727961;7348,30532455091;298,429331902691
192;1,92;-95,567671407931;7397,0601452188;7301,49247381087;296,553948019385
193;1,93;-96,7537182480265;7394,6106881094;7297,85696986137;296,45574736101
194;1,94;-99,4085293631223;7420,48216599197;7321,07363662885;297,492955218801
195;1,95;-102,325395405025;7464,20681271525;7361,88141731022;299,245910630408
196;1,96;-104,896251068684;7465,77001982655;7360,87376875787;299,30858083064
197;1,97;-107,082393658942;7495,53006770548;7388,44767404654;300,501684512167
198;1,98;-108,893747246133;7499,4489431264;7390,55519588027;300,658795304165
199;1,99;-110,333695729294;7548,77386954171;7438,44017381242;302,636270324925
200;2;-111,58885174629;7559,49086914159;7447,9020173953;303,065923251881
201;2,01;-112,494310563047;7614,12302325386;7501,62871269081;305,256169197261
202;2,02;-113,052468522874;7637,00247939114;7523,95001086827;306,173424554504
203;2,03;-113,262273731386;7623,81560534485;7510,55333161346;305,644752422104
204;2,04;-113,194579506827;7639,84467803638;7526,65009852955;306,287370529358
205;2,05;-112,696094746571;7622,92193346824;7510,22583872167;305,608924415025
206;2,06;-111,648624344173;7583,8353766415;7472,18675229732;304,041913668337
207;2,07;-109,794647955993;7593,76270135612;7483,96805340013;304,439907909238
208;2,08;-107,15282766804;7632,43991476196;7525,28708709392;305,990507756841
209;2,09;-104,227842684748;7628,26029683462;7524,03245414987;305,822943593075
210;2,1;-103,17897980289;7669,83969655545;7566,66071675256;307,489894368304
211;2,11;-102,963700652234;7629,13834112824;7526,17464047601;305,858145078083
212;2,12;-104,159743885597;7658,44323758894;7554,28349370335;307,033001381954
213;2,13;-105,803548822623;7672,32122919493;7566,5176803723;307,589380959859
214;2,14;-107,433925823188;7690,37904686437;7582,94512104118;308,313333045871
215;2,15;-108,60694100371;7703,49148896522;7594,88454796151;308,839021143148
216;2,16;-109,001372379826;7709,95680009352;7600,95542771369;309,098220541642
217;2,17;-108,353060832685;7772,57664012089;7664,22357928821;311,608699085806
218;2,18;-106,780816285028;7779,42515595714;7672,64433967211;311,883261461864
219;2,19;-104,363936765979;7779,24468224192;7674,88074547595;311,876026128946
220;2,2;-101,38728009533;7800,08900319067;7698,70172309534;312,711691318871
221;2,21;-98,5693041665413;7801,93596426015;7703,36666009361;312,785737438037
222;2,22;-96,5382996196618;7801,62929057912;7705,09099095946;312,773442649421
223;2,23;-95,2665397815466;7770,91991184429;7675,65337206274;311,542279548642
224;2,24;-94,4942113116198;7764,82541810208;7670,33120679046;311,297946510252
225;2,25;-93,8669645549225;7751,87427334961;7658,00730879469;310,778724950293
226;2,26;-93,2372493247814;7735,28447517343;7642,04722584865;310,113626918182
227;2,27;-92,6860196905641;7729,50299935619;7636,81697966563;309,881843014128
228;2,28;-92,8486345812211;7720,47943016783;7627,63079558661;309,520081041736
229;2,29;-94,5290451899327;7743,53957045848;7649,01052526855;310,444580168527
230;2,3;-97,9258884764521;7772,09493654484;7674,16904806838;311,589387211298
231;2,31;-101,367976110926;7772,24737364504;7670,87939753411;311,59549853431
232;2,32;-103,602721151811;7769,69577839278;7666,09305724097;311,493203077609
233;2,33;-104,744584427347;7745,38711443587;7640,64253000852;310,518649656929
234;2,34;-105,149741483694;7779,43033943563;7674,28059795194;311,883469271586
235;2,35;-105,704528069499;7721,41744147534;7615,71291340584;309,557686651406
236;2,36;-106,765012172158;7730,42328507375;7623,65827290159;309,918737990982
237;2,37;-108,115472504774;7744,33168027705;7636,21620777227;310,476336472971
238;2,38;-109,26929656961;7779,70552320999;7670,43622664038;311,894501605123
239;2,39;-109,759386915031;7776,62295170093;7666,8635647859;311,770918893462
240;2,4;-109,381450784432;7773,44406308398;7664,06261229955;311,643474753336
241;2,41;-108,490927909074;7740,92078955802;7632,42986164895;310,339591186447
242;2,42;-107,47973559965;7766,40008498905;7658,9203493894;311,361076141887
243;2,43;-106,525096851329;7742,02279116959;7635,49769431826;310,383771296142
244;2,44;-105,868004718636;7728,24831375383;7622,38030903519;309,831541683383
