n_update;cutoff_factor;n_seeds;speedup_valid;speedup_median;list_error_max;cutoff_error_max;total_error_valid;total_error_max;list_force_absolute_l2_max_kJ_per_mol_nm;cutoff_force_absolute_l2_max_kJ_per_mol_nm;total_force_absolute_l2_max_kJ_per_mol_nm;list_energy_absolute_error_max_kJ_mol;cutoff_energy_absolute_error_max_kJ_mol;total_energy_absolute_error_max_kJ_mol;n_missing_pairs_max;missed_pair_fraction_max;acceptable
30;2,5;3;3;1610,7872686965127;0,004318260218298975;0,006664453070222853;3;0,007794001979543574;2,023553815471458;2,2006492831817135;2,952333731692318;0,6681281658960359;10,573964450148964;11,040559464221204;28;0,04516129032258064;True
30;2,6;3;3;1557,8473668488186;0,0035417068748100017;0,005528178220528802;3;0,006572877364259531;1,1415526647557925;1,781898623678274;2,11863667591017;0,5873182891641591;9,464004330233223;9,839517128294176;32;0,044444444444444446;True
30;2,7;3;3;1563,3721497786812;0,002239774701939156;0,004555265748774169;3;0,005083604600461528;0,7081808146610715;1,4405141992993382;1,6073925819397223;0,34087376230971245;8,46086292359496;8,735123438678698;25;0,031806615776081425;True
30;2,8;3;3;1567,5957120460641;0,0020402893621336254;0,0037344145807176265;3;0,004232725911808495;0,6600056526203627;1,1804730477553016;1,3379925419167662;0,3730171871993946;7,566567108027485;7,796172836301835;33;0,0365296803652968;True
30;2,9;3;3;1445,4159796901988;0,0017145286446242879;0,0030865567810736926;3;0,0034593154551767107;0,5538008804356374;0,9755275993924181;1,093340554180803;0,29677663213361427;6,770693060427874;7,032672120519635;30;0,030364372469635626;True
30;3,0;3;3;1485,4948423404985;0,0013169897128199166;0,0025329677144860516;3;0,002781499361473329;0,481997723312349;0,8067428390726574;0,9169192944379847;0,25190830902121775;6,09048343699817;6,342391746019388;33;0,030054644808743168;True
31;1,0;3;3;2141,495381864576;1,0;0,1987684470490989;3;1,0;336040,86621326976;202,5821636625023;336040,92805874813;3736,2530068686237;122,77129203446569;3627,092547080945;7;1,0;False
31;2,0;3;3;1792,353147797494;0,01802266913934269;0,022802250467051227;3;0,02880907477785645;10,311581327921115;7,370151061560908;12,368768629876707;1,8842132395687798;20,60051889616136;22,100576153306292;20;0,062111801242236024;False
31;2,1;3;3;1707,9744471898446;0,01681509966447648;0,016906177156923927;3;0,02112711092289679;9,752682217329577;5,481959050079852;11,145358637917425;1,8216526912940196;17,508378993989737;18,736659106997323;21;0,056451612903225805;False
31;2,2;3;3;1711,8305100006828;0,01045352560560251;0,01284352272061898;3;0,015284954727913259;5,694380865594641;4,373771843979045;7,067401887738889;1,144079596459619;15,442821954106975;16,164019468734267;18;0,04186046511627907;False
31;2,3;3;3;1639,2864055714483;0,007368772705807064;0,010266633200586609;3;0,011109146513100434;3,125391340405401;3,487447918829618;4,535008355812539;0,9545183514408393;13,504352152103053;14,109226240409114;24;0,04918032786885246;False
31;2,4;3;3;1646,0178796261796;0,005908201821867184;0,008339811264061827;3;0,009369763347021087;2,506196431024803;2,7152675527348653;3,6935402491769285;0,7812502829728203;11,934174980846805;12,573416883644555;27;0,047619047619047616;True
31;2,5;3;3;1569,5324550840073;0,0037647333513238014;0,006545714653221841;3;0,007213560947557453;2,0511513821974585;2,223774133151038;2,9176314080126207;0,716360198160487;10,586912687187066;11,18692898761563;30;0,04709576138147567;True
31;2,6;3;3;1574,1998595723537;0,0028215847245798386;0,005314810555203421;3;0,005988836899595267;1,3192615751475238;1,7881030150241302;2,2121164861785116;0,6148826842023283;9,509295246829211;9,878761017010092;31;0,04299583911234397;True
31;2,7;3;3;1590,4871521966802;0,002470954462410253;0,004492257925560146;3;0,005142859266878544;0,7965784482366789;1,4482413655140964;1,657986173263258;0,39454095271953804;8,511775901647624;8,786144929577546;29;0,0370843989769821;True
31;2,8;3;3;1553,296619901816;0,0019018560916030489;0,003675592637229662;3;0,004146988228756121;0,7499988770847577;1,1848162066615209;1,3743680131584626;0,4251906271167627;7,5319918881634464;7,806829881462036;35;0,04009163802978236;True
31;2,9;3;3;1524,3478777310222;0,001487284895511176;0,003048839304218605;3;0,003415623583553479;0,5876850800804597;0,9826142357056035;1,111777155723024;0,3096073699414177;6,780271165651371;7,049622799112598;32;0,03285420944558522;True
31;3,0;3;3;1449,015120825406;0,0011709391164825673;0,002447670303482578;3;0,002714624134987364;0,5177080583390186;0,8080366052618783;0,9450470633926786;0,2641940449629061;6,121363310922263;6,385557355885169;37;0,03345388788426763;True
32;1,0;3;3;2127,5781806917826;1,0;0,1868388273356843;3;1,0;853056,9513635339;248,54297395696375;853056,9613552039;8883,480133525492;122,22258887662709;8775,692988291019;7;1,0;False
32;2,0;3;3;1756,5101581267481;0,022888976477649977;0,019576354449710665;3;0,026206625299196203;12,051578253081669;7,519644414626369;13,800265807384914;2,1950435850263403;20,927621657191523;22,36820403045101;20;0,06191950464396285;False
32;2,1;3;3;1700,0326562092707;0,022342340999012732;0,014222814811639322;3;0,024579951511445607;11,752530171277373;5,516097553878435;12,93049411567155;1,5972740781531485;17,514719967028384;19,019929818707368;22;0,05929919137466307;False
32;2,2;3;3;1686,7153859304385;0,011275492290847906;0,011234577579952656;3;0,014315640887781693;6,28929145318545;4,440014717051048;7,5417481359827825;1,2293722033666654;15,441808497595417;16,20949690750058;20;0,046511627906976744;False
32;2,3;3;3;1697,120078215172;0,008523374044538453;0,008836150644129202;3;0,011860248187392949;3,3603951729108905;3,4582449113455924;4,676511578990229;1,0598016553021665;13,44250592413944;14,421972366248738;26;0,053061224489795916;False
32;2,4;3;3;1603,157508524865;0,007688989745139734;0,007087596135769019;3;0,010399052423797702;3,0336035089863924;2,7598707431914407;4,103139729787836;0,9462323126163596;12,01264788292626;12,754051166465885;31;0,055062166962699825;False
32;2,5;3;3;1659,3928591320964;0,004126047589877181;0,005532911379560951;3;0,006326833919306184;2,3020171177193323;2,235994728233046;3,1004685476106224;0,8537683520177666;10,553050460367814;11,38816978605152;34;0,053712480252764615;True
32;2,6;3;3;1587,6823439548414;0,0024724363605716348;0,004607125666768374;3;0,005217818676743362;1,1355942888767425;1,804663051949648;2,0925529969855186;0,5276415212215966;9,489175859362206;9,894221082460348;30;0,04329004329004329;True
32;2,7;3;3;1553,6444652253879;0,002399923586305483;0,0038646171622286167;3;0,0045649190025843335;0,9633054663053564;1,4545115180325012;1,7467731898538827;0,5000491509455145;8,522265131794839;8,868756762757116;33;0,04118404118404118;True
32;2,8;3;3;1487,6179268043525;0,0016590605313626435;0,003190781224245912;3;0,0035978783443205305;0,8372761841682058;1,2009956707485143;1,4247650391350304;0,4310875136362142;7,531661319933349;7,828499754012327;39;0,043820224719101124;True
32;2,9;3;3;1512,9884660904452;0,0013527206018715333;0,00259068690374036;3;0,0029552515787007066;0,6137038261951189;0,9750416396700506;1,130063505629664;0,33004698347204453;6,778766464833836;7,108813448305881;36;0,0364741641337386;True
32;3,0;3;3;1475,2589693009384;0,0010598782630354242;0,0020823372383564557;3;0,002326120250304107;0,5968630805555031;0,811814087970766;0,9727703937450892;0,288460248860531;6,1359872731184595;6,4244475219789905;40;0,036036036036036036;True
33;1,0;3;3;2160,0197072694364;1,0;0,5065182094130163;3;1,0;1668109,520371372;234,10913376026386;1668109,5509036398;16549,669490840563;121,41758938196725;16431,31164468866;7;1,0;False
33;2,0;3;3;1710,97378532269;0,031335373272612314;0,016163129599162624;3;0,03480733441520992;13,99879614817145;7,5147524560188375;15,552390028295909;2,86831007393306;20,93948647598198;22,452195389016396;22;0,06811145510835913;False
33;2,1;3;3;1676,3423129252653;0,013263404177146082;0,012323841707884612;3;0,017686148718240154;7,024976151047909;5,5537785743741805;8,903795323404209;1,639671166190368;17,497962602511578;18,845303055925484;24;0,06417112299465241;False
33;2,2;3;3;1680,7125057493777;0,012438913800011112;0,009535433321375667;3;0,014478859003491303;6,9791282296052986;4,393332204476258;8,12357978448541;1,3934118297604954;15,516919722511972;16,515521594096384;22;0,05116279069767442;False
33;2,3;3;3;1675,0327151059685;0,009220172233470263;0,007577023230013535;3;0,011893473858695632;4,0350696105650785;3,4452906073143144;5,205345694701896;1,152225412051422;13,462559921559063;14,293329728799279;29;0,05731225296442688;False
33;2,4;3;3;1646,62723661997;0,0049585821210795114;0,006192322787900629;3;0,00707433911426597;2,782211691155314;2,753768093726446;3,8146813955388805;1,034218903124824;11,859634032949259;12,860456289172575;31;0,05516014234875445;True
33;2,5;3;3;1647,0162737948644;0,0046106022043358764;0,00483748964329261;3;0,0059036072381768254;2,587566119604933;2,2301828565271022;3,313266507794874;0,9483115197023722;10,52905017157677;11,477361691279143;38;0,06003159557661927;True
33;2,6;3;3;1549,9830235096674;0,0022778107497796493;0,004070643866751795;3;0,004608810025892479;1,2684827085183952;1,78442940179619;2,1900312419753836;0,6270374684052342;9,473151993893367;9,89939712044604;32;0,0446685878962536;True
33;2,7;3;3;1579,1552165251896;0,0019686412500983038;0,0032694123285343284;3;0,003749980144833799;1,0866781555487508;1,4542201946250823;1,81598211509252;0,5570162928689086;8,5639926645743;8,877784009023458;35;0,043758043758043756;True
33;2,8;3;3;1512,3228033880118;0,0016045455279215088;0,0026136320447110277;3;0,0030121956241380516;0,872014954220545;1,2051536339449305;1,4001567355609983;0,4360738323268265;7,5386883455288825;7,868776316568727;39;0,04421768707482993;True
33;2,9;3;3;1532,3532287462801;0,0014423708984558233;0,002111265404557848;3;0,002442317606823659;0,8229592018075073;0,9678101992310564;1,2100184673747993;0,352491271898387;6,769979344799609;7,122470616697996;37;0,03767820773930754;True
33;3,0;3;3;1488,0357532518976;0,0012921485876766397;0,0017715341476148574;3;0,0020007677674461037;0,7371565309202546;0,8072665052702597;1,0475923661732045;0,3194962257143459;6,144841376344118;6,464337602058464;42;0,03787195671776375;True
34;1,0;3;3;2999,944959004204;1,0;0,2786471106602261;3;1,0;23194,972466632025;211,54099006990685;23195,404195445448;392,31466905020875;120,31368908426356;285,35577468246976;8;1,0;False
34;2,0;3;3;2421,531211178162;0,03541294129363438;0,022668268989827302;3;0,03899949911391136;14,740398743534518;7,553898466059646;16,235625255299503;2,699777608623208;21,019397225301503;22,72855820509922;24;0,07164179104477612;False
34;2,1;3;3;2281,0964434247476;0,019275570343744605;0,017615760419937565;3;0,026176500893647984;7,773984642679496;5,579196667565387;9,503749322305943;1,8129960858705942;17,579150929182504;18,947750769107074;26;0,07008086253369272;False
34;2,2;3;3;2357,62941672548;0,014019718132048534;0,013500108204295078;3;0,017996059920819735;7,739184084916506;4,357943661708924;8,766332720406481;1,591578669083674;15,433186727964113;16,90086873333341;29;0,06682027649769585;False
34;2,3;3;3;2302,2377709163684;0,010171978121682695;0,010604279155275257;3;0,014691015054410223;4,4633655239331995;3,458625577037154;5,531343722349057;1,3498959792308938;13,420077734922245;14,704785857549211;30;0,060240963855421686;False
34;2,4;3;3;2141,6582871140413;0,005658181968981593;0,00848467495182121;3;0,010007353132048173;3,123457919521798;2,7109878839694597;4,117889605071365;1,226765880276389;11,89850587398277;12,943591921402344;35;0,06172839506172839;False
34;2,5;3;3;2270,0494066128126;0,005295419399462414;0,006879793124388066;3;0,00837967349518349;2,923921393765259;2,2634088384010447;3,5851451583613465;0,8522635009832555;10,624122836382824;11,416309337673482;35;0,05785123966942149;True
34;2,6;3;3;2182,9410215733174;0,0035351991560421867;0,005469598203403846;3;0,00653019144155668;1,4262921259929815;1,8285802877497412;2,3317565896726022;0,6471108337223797;9,410422713928028;10,057533547650408;31;0,04366197183098591;True
34;2,7;3;3;2182,2550326461605;0,003008676653917773;0,004390117587146412;3;0,0053245813868991266;1,2636434790986337;1,4505766823601056;1,9299587297451963;0,6396528331862186;8,554116387913098;8,905242229909561;39;0,0480295566502463;True
34;2,8;3;3;2099,971797234368;0,002541883608535887;0,0035653817608152986;3;0,0043824385528178755;1,1647898674297124;1,1812695832876436;1,591450056742832;0,47564835295781904;7,51605316999364;7,902634129084703;41;0,046750285062713795;True
