n_update,cutoff_factor,n_seeds,speedup_valid,speedup_median,list_error_max,cutoff_error_max,total_error_valid,total_error_max,list_force_absolute_l2_max_kJ_per_mol_nm,cutoff_force_absolute_l2_max_kJ_per_mol_nm,total_force_absolute_l2_max_kJ_per_mol_nm,list_energy_absolute_error_max_kJ_mol,cutoff_energy_absolute_error_max_kJ_mol,total_energy_absolute_error_max_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max,acceptable
11,11.0,3,3,365.29683211514254,0.0008030846484652923,0.0008743576390171519,3,0.001207506273924486,3.264087190788548e-05,2.7612769507424384e-05,4.0232026418725535e-05,3.29118564577624e-05,0.00024245988362711288,0.00027373009654330094,10,0.09615384615384616,True
11,12.0,3,3,348.72524957547864,0.0005090985584324925,0.0005683631626239224,3,0.0007629508545221358,1.605882423265555e-05,1.8643170179682176e-05,2.4066250210418404e-05,2.9905713883008472e-05,0.00020042178537551733,0.00021739687357057343,18,0.12949640287769784,True
11,13.0,3,3,337.17748984542067,0.00021966961813848232,0.00036558202400891837,3,0.0004214931418200504,8.082884875459091e-06,1.1817719038404607e-05,1.364988012443853e-05,1.650245330768116e-05,0.00015391064283780745,0.00016510521462323804,17,0.09770114942528736,True
11,14.0,3,3,327.0127210474843,0.0001530430631653845,0.00023381544752023347,3,0.00028113959430372827,5.3778122367081e-06,7.811849590274512e-06,9.416415826427674e-06,9.84962851993676e-06,0.0001234701405596894,0.00013102366469563975,15,0.07253886010362694,True
11,15.0,3,3,322.65658349124175,8.829586030151424e-05,0.0001597366775538622,3,0.00018166821974254944,3.5365977574715085e-06,5.349117556570523e-06,5.956640197787441e-06,7.828858050007437e-06,9.750862401311858e-05,0.0001027301571582262,17,0.06854838709677419,True
12,1.0,3,3,460.6708432659744,1.0,1.0,3,1.0,1781.0890593920033,1.7149228593414294,1781.0890796056883,23.7606002968229,0.13736089693570935,23.7123085793742,1,1.0,False
12,2.0,3,3,495.60863647512355,1.0,1.0,3,1.0,1.7146201694647323,0.33918468785943107,1.7149228593414294,0.12580355565995716,0.04863028351294396,0.13736089693570935,1,1.0,False
12,2.5,3,3,502.7959912155494,1.0,1.0,3,1.0,1.7146201694647323,0.1600864020486942,1.7149228593414294,0.12580355565995716,0.03732796067811671,0.13736089693570935,1,1.0,False
12,3.0,3,3,504.3311721671098,1.0,1.0,3,1.0,0.33320952563655826,0.05733973391123086,0.33392780030366354,0.03030992090543627,0.022071639524634905,0.04173897267568982,2,1.0,False
12,5.0,3,3,488.40961704990025,0.5685868899926652,0.08497074957682613,3,0.5686939897002158,0.08495830954049939,0.002756139597585747,0.08498254312166549,0.009657412661039491,0.003538230931573849,0.012291292905354044,4,0.4,False
12,7.5,3,3,440.3177070509009,0.004432694369287473,0.00812996187488151,3,0.00927987852766395,0.0005286859094363173,0.00026019879387599164,0.0005749299517198974,0.00021753257505936763,0.0008071171548477557,0.0009553079302470138,6,0.13333333333333333,True
12,10.0,3,3,417.0461623901353,0.001297769184908827,0.0013212024577605288,3,0.0018658006878866634,8.804342946783946e-05,4.720051657391396e-05,9.919665138504455e-05,6.0227995298652026e-05,0.0003160027999903718,0.0003625620343591304,9,0.10126582278481013,True
12,11.0,3,3,413.2149014232539,0.0005740885756210606,0.0009569869699211001,3,0.0011220740266138845,3.728737290338965e-05,2.8234574751986216e-05,4.5397051442337185e-05,4.1254028039672264e-05,0.00024483954243911116,0.00027528215347477625,11,0.10185185185185185,True
12,12.0,3,3,385.3955775357067,0.0005097702997593138,0.000587281345893428,3,0.0007674034876992775,1.5040036704985295e-05,1.90367091844444e-05,2.2731988908910977e-05,3.0253533704375016e-05,0.00019906427339788646,0.0002146053037235668,19,0.13286713286713286,True
12,13.0,3,3,384.14642201736484,0.0002591065113380706,0.0003767529523598123,3,0.0004549060024995691,9.249794478862719e-06,1.1762448687570927e-05,1.4363757767429298e-05,1.9108624702553895e-05,0.00015395020359363146,0.00016821360498141258,18,0.10404624277456648,True
12,14.0,3,3,359.37285562797246,0.00020789134383208767,0.00024317805828668834,3,0.00032265739387021277,6.133516263181748e-06,7.914423435892328e-06,9.519559307599871e-06,1.215484639285197e-05,0.0001248598887431951,0.00013043870919196912,17,0.08854166666666667,True
12,15.0,3,3,348.46787811418466,0.00010394355984848295,0.00017546377442699602,3,0.00020409882161907694,4.370550006461808e-06,5.231080313990945e-06,6.268896727354395e-06,8.70494010656031e-06,9.842959564831943e-05,0.00010645119664062785,18,0.07114624505928854,True
13,1.0,3,3,584.8127473381431,1.0,1.0,3,1.0,42267.72848186863,1.2376777302686603,42267.728472221104,534.8672731971999,0.10313090733432345,534.7992998054519,1,1.0,False
13,2.0,3,3,560.8321088196897,1.0,1.0,3,1.0,1.2375971267069314,0.624073147743207,1.2376777302686603,0.09451151018735374,0.068176500522481,0.10313090733432345,1,1.0,False
13,2.5,3,3,548.0631088841438,1.0,1.0,3,1.0,0.6225941442939646,0.16708010130876313,0.6241064006680318,0.05200842453104723,0.03351618863436238,0.06823747426543869,1,1.0,False
13,3.0,3,3,562.3068436563881,0.8770666037914445,1.0,3,1.0,0.6225941442939646,0.04669183375290288,0.6241076992739073,0.05200842453104723,0.019487974243034563,0.06823979832049726,1,0.5,False
13,5.0,3,3,546.959588105943,0.17250768670800445,0.054510348284846244,3,0.179559033117154,0.03737625073888439,0.0029438369504839698,0.03747517105537599,0.005851160818565869,0.0035644828967977826,0.008939198470308884,4,0.4,False
