n_update,cutoff_factor,cutoff_radius_nm,seed,original_runtime_s,optimized_runtime_s,speedup,list_force_relative_l2,cutoff_force_relative_l2,total_force_relative_l2,list_force_absolute_l2_kJ_per_mol_nm,cutoff_force_absolute_l2_kJ_per_mol_nm,total_force_absolute_l2_kJ_per_mol_nm,list_energy_absolute_error_kJ_mol,cutoff_energy_absolute_error_kJ_mol,total_energy_absolute_error_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max
14,10.0,3.4000000000000004,3,38.47436808299972,0.08558466599788517,449.54744678153486,0.00040029233635095415,0.00047427734013278717,0.0006222188052038709,5.6387474910357385e-05,4.731385681809116e-05,7.380079697453286e-05,6.349113667879214e-05,0.00031815171679533405,0.00035528148538760407,12,0.13793103448275862
13,7.5,2.5500000000000003,3,38.47436808299972,0.07632462499896064,504.0885308447129,0.003894234586843338,0.0029624344756292,0.004867734682126034,0.0006750850421651773,0.00026402887170676447,0.0007310274946937079,0.000244828009785536,0.0008057419873431435,0.0010116572573725946,4,0.11428571428571428
13,7.5,2.5500000000000003,2,38.32349537499249,0.0728280830080621,526.2186479733383,0.0024748547175072457,0.0011321284916962792,0.002573567822222208,0.000796068400493041,0.00024348907567280556,0.000827862939968551,0.0003293657178855408,0.0007397948880823318,0.0009681017850692655,5,0.12195121951219512
10,11.0,3.74,2,38.32349537499249,0.11388458398869261,336.51170362792527,0.0001287183449377572,0.00021081445942828505,0.0002448845593984783,2.7530847973488657e-05,2.374803629879429e-05,3.5639596806210234e-05,1.8503216210774553e-05,0.0002152287678996792,0.00023087346368422246,6,0.06
12,15.0,5.1000000000000005,2,38.32349537499249,0.10997712495736778,348.46787811418466,1.690597766925004e-05,3.258007675692953e-05,3.659884509535602e-05,4.370550006461808e-06,5.0116124710437175e-06,6.268896727354395e-06,8.70494010656031e-06,9.423389842844188e-05,0.00010028213352472615,18,0.07114624505928854
13,1.0,0.34,2,38.32349537499249,0.06529900000896305,586.8925308156655,1.0,1.0,1.0,42267.72848186863,0.6239610793875513,42267.728472221104,534.8672731971999,0.06797339174795525,534.7992998054519,1,1.0
11,14.0,4.760000000000001,2,38.32349537499249,0.11553054198157042,331.7174378105653,3.3596380921797883e-05,5.4387012055372684e-05,6.37253419578027e-05,4.66439307325748e-06,7.429319473233485e-06,8.704944545649064e-06,9.116844659512457e-06,0.00011811412222605816,0.0001261403947853887,14,0.07253886010362694
11,10.0,3.4000000000000004,2,38.32349537499249,0.09864412498427555,388.50256293622635,0.00017001224935452762,0.0002715462611383555,0.0003188263663174025,3.4905846799541056e-05,4.252586954656853e-05,5.414074982908918e-05,3.0101700385920527e-05,0.0002809864935674096,0.000304809346430698,6,0.0759493670886076
11,15.0,5.1000000000000005,3,38.47436808299972,0.11836516699986532,325.0480615048133,3.244187401823464e-05,5.93569871910912e-05,6.825324053608145e-05,2.7970164404555576e-06,5.12787316273168e-06,5.858977842651796e-06,6.4568517407770365e-06,9.627330541744916e-05,0.0001027301571582262,16,0.05818181818181818
13,14.0,4.760000000000001,3,38.47436808299972,0.09259312500944361,415.520786009498,4.218964460240016e-05,9.062767635237539e-05,9.98663966793926e-05,4.626908798536583e-06,7.771362695484742e-06,9.017386495891803e-06,9.626964175002417e-06,0.00012153369322147334,0.0001309388085805746,15,0.07009345794392523
10,13.0,4.42,2,38.32349537499249,0.12073641701135784,317.41454917771284,5.1521759461408364e-05,8.844622312763406e-05,0.00010193485819689346,5.988239473496889e-06,1.0066782480455264e-05,1.1609679802786015e-05,8.229357077116362e-06,0.0001395252733874426,0.0001476307556773082,8,0.050955414012738856
12,14.0,4.760000000000001,1,37.92647200002102,0.10480433300836012,361.8788547320431,0.00020789134383208767,0.00024317805828668834,0.00032265739387021277,6.133516263181748e-06,7.700061939059068e-06,9.519559307599871e-06,1.215484639285197e-05,0.00011855685278812367,0.0001270440027330913,16,0.07142857142857142
11,15.0,5.1000000000000005,1,37.92647200002102,0.11766879196511582,322.3154701143251,8.829586030151424e-05,0.0001597366775538622,0.00018166821974254944,2.7851691959236113e-06,5.349117556570523e-06,5.8856636776853484e-06,6.1549482053419036e-06,9.750862401311858e-05,0.00010176139943087956,15,0.05338078291814947
12,13.0,4.42,1,37.92647200002102,0.09872920799534768,384.14642201736484,0.0002591065113380706,0.0003767529523598123,0.0004549060024995691,8.941674801840018e-06,1.1588763746666831e-05,1.4083368991879509e-05,1.6983720745707837e-05,0.0001514934755455083,0.00016216654230053612,16,0.0893854748603352
12,12.0,4.08,3,38.47436808299972,0.09484450001036748,405.657345220799,0.00013298623674227458,0.00019246501810657706,0.00023433693469844167,1.3374873987991241e-05,1.8156265562808835e-05,2.232422323332183e-05,1.8309854834086536e-05,0.0001978204676766869,0.0002146053037235668,10,0.07462686567164178
